uniq_id,score,product_name,image_url
6ef0a5eb033cd610d455be7102da5685,5,Vishudh Printed Women's Straight Kurta,https://drive.google.com/file/d/1wrjXouVzsD4YCzlrZwVBz_aV4nB710XG/view?usp=share_link
c9c27aa5dc7df49e82e55e8abb6b4020,4,Vishudh Printed Women's Straight Kurta,https://drive.google.com/file/d/1SS0TxohE5ou4g0AEFBkbSOP56p2eVjO4/view?usp=share_link
8bc90f8a2ab89daa6ea69d42fe24c985,2,Vishudh Printed Women's Anarkali Kurta,https://drive.google.com/file/d/1n2QdR9_LTNVc2wsLqWd4b41qzOK-901g/view?usp=share_link
f04b7e56a6053c465aa03994ae749fba,1.7,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,https://drive.google.com/file/d/1Y0CSBy8E9jTH6uzfeSr-G1UibtEfA_Pc/view?usp=share_link
e6aa835f620db985ee4389b63ef166ad,2.3,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,https://drive.google.com/file/d/1fr1cudA0OUx6qDXVd3Z6ItfFlC6qTD_J/view?usp=share_link
cb02f195bbaabc773c7103accf6614a3,1.4,MASARA Solid Women's Straight Kurta,https://drive.google.com/file/d/1aD_UNLYmWZ34xnmlpcNqX6Yeh-MR1oKD/view?usp=share_link
169902631b89202f0e2079e9cc09b3c7,4.9,Vishudh Printed Women's Straight Kurta,https://drive.google.com/file/d/15SQztB_S2saYIvzQu6_2szHLuTYtyWJG/view?usp=share_link
d8dfa5cfc972119fb2fb7ed330b8be54,1.5,Rapter BNC-047 BNC Wire Connector,https://drive.google.com/file/d/10xZ539w00LMyhF0pqfDEbpMEi88_0jzr/view?usp=share_link
5f16579ecfc3aa5dd8e65afdaa069d4f,3.9,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,https://drive.google.com/file/d/1xBhyAzUeEGFxiMlgTe9bcBgJxV5GRpXG/view?usp=share_link
06ad8323cf9105f1aaae6515cf08a7d6,3.7,Vishudh Printed Women's Straight Kurta,https://drive.google.com/file/d/15EBdhDTE4PVwvGaEo8HLSBGa4j2ma-dv/view?usp=share_link
6894a5c6bb1d312fc0b65b51d9f65acc,2.5,Behringer Xenyx 502 Analog Sound Mixer,https://drive.google.com/file/d/1LX1jBwSoY6LJyaTsN6l3FL4Uda9P5f8u/view?usp=share_link
3ecb859759e5311cbab6850e98879522,2.8,Vishudh Printed Women's Straight Kurta,https://drive.google.com/file/d/1g3MJWiOakQ1wgRO05vEnHWz3-o8BuTWu/view?usp=share_link
